datetime,symbol,open,high,low,close,volume
2013-03-31 03:30:00,bitfinex:BTCUSD,93.3,100.0,93.03,93.10001,378.15574231
2013-04-01 03:30:00,bitfinex:BTCUSD,93.17,105.9,92.49999,102.37,4919.65412713
2013-04-02 03:30:00,bitfinex:BTCUSD,102.8,118.3880667,99.0,117.98999,9084.83281592
2013-04-03 03:30:00,bitfinex:BTCUSD,116.5790967,146.88,101.51088,134.9529689,12909.40217815
2013-04-04 03:30:00,bitfinex:BTCUSD,131.7796862,143.0,119.0,132.681,6910.10041349
2013-04-05 03:30:00,bitfinex:BTCUSD,132.75,145.0,131.503,140.0,4838.18497163
2013-04-06 03:30:00,bitfinex:BTCUSD,141.0,144.0,140.902,143.97,2170.75030329
2013-04-07 03:30:00,bitfinex:BTCUSD,144.0,174.4,143.501,174.4,3735.13031724
2013-04-08 03:30:00,bitfinex:BTCUSD,172.5,200.0,166.693,194.5,10616.2750732
2013-04-09 03:30:00,bitfinex:BTCUSD,190.51,249.97,188.898,233.115,6188.91889415
2013-04-10 03:30:00,bitfinex:BTCUSD,233.49,290.0,19.9,170.986,17906.04222014
2013-04-11 03:30:00,bitfinex:BTCUSD,169.005,188.0,1.06,120.0,15024.78172248
2013-04-12 03:30:00,bitfinex:BTCUSD,111.0,157.0,51.0,114.71,43253.49325315
2013-04-13 03:30:00,bitfinex:BTCUSD,112.974,123.878,81.12,97.599,19843.72797545
2013-04-14 03:30:00,bitfinex:BTCUSD,98.771,109.0,20.0,95.0,16732.68495874
2013-04-15 03:30:00,bitfinex:BTCUSD,95.0,104.0,71.497,78.001,16361.2300091
2013-04-16 03:30:00,bitfinex:BTCUSD,77.502,82.5,0.01,70.11,26137.58438334
2013-04-17 03:30:00,bitfinex:BTCUSD,70.304,98.9,70.095,91.797,20450.76431541
2013-04-18 03:30:00,bitfinex:BTCUSD,90.0,114.28,88.839,114.28,8005.04806461
2013-04-19 03:30:00,bitfinex:BTCUSD,114.07,142.0,110.0,116.95,21905.83536899
2013-04-20 03:30:00,bitfinex:BTCUSD,116.401,132.0,115.0,126.0,4621.18409622
