datetime,symbol,open,high,low,close,volume
2009-10-05 03:30:00,CRYPTO:BTCUSD,0.00076392,0.00076392,0.00076392,0.00076392,0.0
2009-10-06 03:30:00,CRYPTO:BTCUSD,0.00088454,0.00088454,0.00088454,0.00088454,0.0
2009-10-07 03:30:00,CRYPTO:BTCUSD,0.0010504,0.0010504,0.0010504,0.0010504,0.0
2009-10-08 03:30:00,CRYPTO:BTCUSD,0.00108428,0.00108428,0.00108428,0.00108428,0.0
2009-10-09 03:30:00,CRYPTO:BTCUSD,0.00120045,0.00120045,0.00120045,0.00120045,0.0
2009-10-10 03:30:00,CRYPTO:BTCUSD,0.00112042,0.00112042,0.00112042,0.00112042,0.0
2009-10-11 03:30:00,CRYPTO:BTCUSD,0.00115338,0.00115338,0.00115338,0.00115338,0.0
2009-10-12 03:30:00,CRYPTO:BTCUSD,0.00110205,0.00110205,0.00110205,0.00110205,0.0
2009-10-13 03:30:00,CRYPTO:BTCUSD,0.00112878,0.00112878,0.00112878,0.00112878,0.0
2009-10-14 03:30:00,CRYPTO:BTCUSD,0.00113556,0.00113556,0.00113556,0.00113556,0.0
2009-10-15 03:30:00,CRYPTO:BTCUSD,0.00117006,0.00117006,0.00117006,0.00117006,0.0
2009-10-16 03:30:00,CRYPTO:BTCUSD,0.00124491,0.00124491,0.00124491,0.00124491,0.0
2009-10-17 03:30:00,CRYPTO:BTCUSD,0.00124137,0.00124137,0.00124137,0.00124137,0.0
2009-10-18 03:30:00,CRYPTO:BTCUSD,0.00122546,0.00122546,0.00122546,0.00122546,0.0
2009-10-19 03:30:00,CRYPTO:BTCUSD,0.00124799,0.00124799,0.00124799,0.00124799,0.0
2009-10-20 03:30:00,CRYPTO:BTCUSD,0.00123349,0.00123349,0.00123349,0.00123349,0.0
2009-10-21 03:30:00,CRYPTO:BTCUSD,0.00121062,0.00121062,0.00121062,0.00121062,0.0
2009-10-22 03:30:00,CRYPTO:BTCUSD,0.00121981,0.00121981,0.00121981,0.00121981,0.0
2009-10-23 03:30:00,CRYPTO:BTCUSD,0.00125717,0.00125717,0.00125717,0.00125717,0.0
2009-10-24 03:30:00,CRYPTO:BTCUSD,0.0012732,0.0012732,0.0012732,0.0012732,0.0
2009-10-25 03:30:00,CRYPTO:BTCUSD,0.00128808,0.00128808,0.00128808,0.00128808,0.0
2009-10-26 03:30:00,CRYPTO:BTCUSD,0.00126622,0.00126622,0.00126622,0.00126622,0.0
2009-10-27 03:30:00,CRYPTO:BTCUSD,0.00126322,0.00126322,0.00126322,0.00126322,0.0
2009-10-28 03:30:00,CRYPTO:BTCUSD,0.00128455,0.00128455,0.00128455,0.00128455,0.0
2009-10-29 03:30:00,CRYPTO:BTCUSD,0.00126555,0.00126555,0.00126555,0.00126555,0.0
2009-10-30 03:30:00,CRYPTO:BTCUSD,0.00125563,0.00125563,0.00125563,0.00125563,0.0
2009-10-31 03:30:00,CRYPTO:BTCUSD,0.00124662,0.00124662,0.00124662,0.00124662,0.0
2009-11-01 03:30:00,CRYPTO:BTCUSD,0.00121911,0.00121911,0.00121911,0.00121911,0.0
2009-11-02 03:30:00,CRYPTO:BTCUSD,0.00125614,0.00125614,0.00125614,0.00125614,0.0
2009-11-03 03:30:00,CRYPTO:BTCUSD,0.0012732,0.0012732,0.0012732,0.0012732,0.0
2009-11-04 03:30:00,CRYPTO:BTCUSD,0.00130618,0.00130618,0.00130618,0.00130618,0.0
2009-11-05 03:30:00,CRYPTO:BTCUSD,0.00130618,0.00130618,0.00130618,0.00130618,0.0
2009-11-06 03:30:00,CRYPTO:BTCUSD,0.00128619,0.00128619,0.00128619,0.00128619,0.0
2009-11-07 03:30:00,CRYPTO:BTCUSD,0.00127967,0.00127967,0.00127967,0.00127967,0.0
2009-11-08 03:30:00,CRYPTO:BTCUSD,0.00126048,0.00126048,0.00126048,0.00126048,0.0
2009-11-09 03:30:00,CRYPTO:BTCUSD,0.00126048,0.00126048,0.00126048,0.00126048,0.0
2009-11-10 03:30:00,CRYPTO:BTCUSD,0.00123576,0.00123576,0.00123576,0.00123576,0.0
2009-11-11 03:30:00,CRYPTO:BTCUSD,0.00129946,0.00129946,0.00129946,0.00129946,0.0
